raw_database_id,cardName,type,series,pokedexNumber,displayOrder,isLegacy,cardNumber,price,보유 여부,imageUrl,status,rarity
pcYbiY9hhq8yDYUmCBl5,레시라무 ex,포켓몬,sv11W -「화이트플레어」,,201,true,SV11W-168,0,,https://mtg-kr.com/cardimage/poketcgSV11W-168.png,등급카드,SAR
cey3VIzP996Q1iUnZEci,레시라무 GX,포켓몬,sm8b -「울트라샤이니」,,202,true,SM8b-211,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_211.png,미보유,SSR
dlTateGzgsamqbdDPBTG,레시라무 V,포켓몬,s11a -「백열의 아르카나」,,203,true,S11a-076,0,,https://mtg-kr.com/cardimage/poketcgS11a-076.png,미보유,SR
WvPIWKyixJKXD6VlYXnQ,레시라무&제크로무 GX,포켓몬,sm11b -「드림리그」,,204,true,SM11b-064,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_064.png,미보유,SR
2WEkJKnnnEXWBorkxy6n,레어코일,포켓몬,sv8 -「초전브레이커」,,205,true,SV8-112,0,,https://mtg-kr.com/cardimage/poketcgSV8-112.png,보유중,AR
Ypl5SK3YcXMSSDqQU2xx,레지기가스 Vstar,포켓몬,s12a -「VSTAR 유니버스」,,206,true,S12a-233,0,,https://mtg-kr.com/cardimage/poketcgS12a-233.png,미보유,SAR
4YJSee16SlxIIIbtHDKv,레쿠쟈 GX,포켓몬,sm8b -「울트라샤이니」,,207,true,SM8b-240,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_240.png,등급카드,SSR
lu4lJMTpnP9UFlITkx7k,레쿠쟈 V,포켓몬,s7R -「창공스트림」,,208,true,S7r-076,0,,https://mtg-kr.com/cardimage/poketcgS7R-076.png,보유중,SR
1OxlLAOiQPSr7FpnzHF5,레쿠쟈 Vmax,포켓몬,s8b -「VMAX 클라이맥스」,,209,true,S8b-252,0,,https://mtg-kr.com/cardimage/poketcgS8b-252.png,등급카드,CSR
Wi9MbZEYb4h9Vxd6BcHM,로즈레이드,포켓몬,s9a -「배틀리전」,,210,true,S9a-068,0,,https://mtg-kr.com/cardimage/poketcgS9a-068.png,보유중,CHR
ceZcIGDRuyKX3axOI9b1,로켓단의 니드킹 ex,포켓몬,sv10 -「로켓단의 영광」,,211,true,SV10-126,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_126.png,미보유,SAR
9pUBA6QmmlIFpP5s2mog,로켓단의 레트라,포켓몬,sv10 -「로켓단의 영광」,,212,true,SV10-108,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_108.png,보유중,AR
jQVkvyrhladxl4TyDr0j,로켓단의 뮤츠 ex,포켓몬,sv10 -「로켓단의 영광」,,213,true,SV10-125,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_125.png,미보유,SAR
gVaubspM2I90c7tzG5jT,로켓단의 뮤츠 ex,포켓몬,m2a -「메가드림」,,214,true,M2a-237,0,,https://mtg-kr.com/cardimage/poketcgM2a-237.png,미보유,SAR
1U161hPrbNM4bKQC66y3,로켓단의 비주기,포켓몬,sv10 -「로켓단의 영광」,,215,true,SV10-128,0,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_128.png,보유중,SAR
