raw_database_id,cardNumber,type,status,createdAt,imageUrl,pokedexNumber,price,isLegacy,series,rarity,cardName
00XltwKTWZvTfrkbCjaI,S8b-272,서포트,미보유,2026-04-20T05:38:04.142Z,https://mtg-kr.com/cardimage/poketcgS8b-272.png,,0,true,s8b -「VMAX 클라이맥스」,SR,어니언
02NrozWTPWkRIlwUYgwy,S6a-085,포켓몬,보유중,2026-04-20T05:38:04.140Z,https://mtg-kr.com/cardimage/poketcgS6a-085.png,,0,true,s6a -「이브이 히어로즈」,SR,블래키 V
03caPnflsCGdfeQKqgGZ,M2a-216,,미보유,2026-04-20T05:38:21.282Z,https://mtg-kr.com/cardimage/poketcgM2a-216.png,,0,true,m2a -「메가드림」,SR,
0AVGpxn3XwlUFZupODaq,SV11B-093,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_093.png,,0,true,sv11B -「블랙볼트」,AR,마라카치
0BiLlrsQ1DfS6QwAZXEw,SV3a-091,,미보유,2026-04-20T05:38:11.056Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_091.png,,0,true,sv3a -「레이징서프」,UR,
0G42nPSQa5bmiqTHk7Ue,SV11B-135,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_135.png,,0,true,sv11B -「블랙볼트」,AR,돌살이
0NvdnKyZZVIgr87Ireoy,SV2P-084,,미보유,2026-04-20T05:38:11.055Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_084.png,,0,true,sv2P -「스노해저드」,SR,
0OsFyQg7dvuoBhudwBgh,SV2P-078,,보유중,2026-04-20T05:38:11.055Z,https://mtg-kr.com/cardimage/poketcgSV2P-078.png,,0,true,sv2P -「스노해저드」,AR,고디보미
0VHdCkgyT044wzAnIf8k,S11a-089,,미보유,2026-04-20T05:38:07.604Z,https://mtg-kr.com/cardimage/poketcgS11a-089.png,,0,true,s11a -「백열의 아르카나」,HR,
0WlKRALGGym3TO9kwvlD,S10a-097,,미보유,2026-04-20T05:38:07.603Z,https://mtg-kr.com/cardimage/poketcgS10a-097.png,,0,true,s10a -「다크판타스마」,,
0XSMisifVTFxVUAet1Sx,SV9-109,,보유중,2026-04-20T05:38:14.494Z,https://mtg-kr.com/cardimage/poketcgSV9-109.png,,0,true,sv9 -「배틀파트너즈」,AR,
0aBFZi1LlTKfMUJciBrR,SV4M-094,,미보유,2026-04-20T05:38:11.059Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_094.png,,0,true,sv4M -「미래의 일섬」,UR,
0aNR9OFXkRmZvOM0XcPW,SV11B-136,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,,0,true,sv11B -「블랙볼트」,AR,
0cAGPdUZRpNiV79fZMu9,SV10-117,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_117.png,,0,true,sv10 -「로켓단의 영광」,SR,
0ce4p1RW8Gxk52BI6ZLi,SV3-130,,보유중,2026-04-20T05:38:11.055Z,https://mtg-kr.com/cardimage/poketcgSV3-130.png,,0,true,sv3 - 「흑염의 지배자」,SR,뽀삐
0fqKywUQrHGJwz4tcqYl,SV9-112,,보유중,2026-04-20T05:38:17.894Z,https://mtg-kr.com/cardimage/poketcgSV9-112.png,,0,true,sv9 -「배틀파트너즈」,AR,호브의 우르
0g1P3fHTv6zmp97Valgg,SV8a-223,,보유중,2026-04-20T05:38:14.494Z,https://mtg-kr.com/cardimage/poketcgSV8a-223.png,,0,true,sv8a -「테라스탈 페스타 ex」,SAR,이브이 ex
0gqlz8FQuMoRB3aHvgyQ,SV2P-099,,미보유,2026-04-20T05:38:11.055Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_099.png,,0,true,sv2P -「스노해저드」,UR,
0linzz0a5UplY7nhVHwx,SV7a-070,,보유중,2026-04-20T05:38:14.492Z,https://mtg-kr.com/cardimage/poketcgSV7a-070.png,,0,true,sv7a -「낙원드래고나」,AR,라티오스
0mCXrSoExr2nEEFbJqvT,S9-109,,보유중,2026-04-20T05:38:07.601Z,https://mtg-kr.com/cardimage/poketcgS9-109.png,,0,true,s9 -「스타버스」,SR,돈크로우 V
0memoDT1bPhk6fHEz15V,SV5M-089,,미보유,2026-04-20T05:38:14.489Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_089.png,,0,true,sv5M -「사이버저지」,SR,
0mr3UoEZjhbOI48q131n,SV10-105,,보유중,2026-04-20T05:38:17.895Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_105.png,,0,true,sv10 -「로켓단의 영광」,AR,
0nMJyrGZ720L4d0ElcMM,SM6a-056,포켓몬,미보유,2026-04-20T05:38:04.135Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6A/SM6A_056.png,,0,true,sm6a -「드래곤스톰」,SR,
0r4kjNMYADgqsxqWtRzZ,SV11W-147,,보유중,2026-04-20T05:38:17.898Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png,,0,true,sv11W -「화이트플레어」,AR,기기어르
0uJHhVSoorOqPyrwHB19,SV11B-106,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_106.png,,0,true,sv11B -「블랙볼트」,AR,앗차키
0ytkNk6p5pYXIx8eMAQV,SV4M-086,,미보유,2026-04-20T05:38:11.059Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_086.png,,0,true,sv4M -「미래의 일섬」,SR,
18XhCfkOJRiSolGEhEs2,SV9a-080,,보유중,2026-04-20T05:38:17.895Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_080.png,,0,true,sv9a -「열풍의 아레나」,SR,
1F9UxG24IZFRDkHbOWGj,SV11B-127,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_127.png,,0,true,sv11B -「블랙볼트」,AR,
1Fcr61XhhygFqT0Orrjo,S8b-190,,보유중,2026-04-20T05:38:04.140Z,https://mtg-kr.com/cardimage/poketcgS8b-190.png,,0,true,s8b -「VMAX 클라이맥스」,CHR,
1NsgPiZBhNCBWzRIaqHD,SV11W-174,,등급카드,2026-04-20T05:38:17.898Z,https://mtg-kr.com/cardimage/poketcgSV11W-174.png,,0,true,sv11W -「화이트플레어」,BWR,레시라무 ex
1OxlLAOiQPSr7FpnzHF5,S8b-252,,등급카드,2026-04-20T05:38:04.142Z,https://mtg-kr.com/cardimage/poketcgS8b-252.png,,0,true,s8b -「VMAX 클라이맥스」,CSR,레쿠쟈 Vmax
1RS6EPJXCk1OvJGEIHAv,SM8b-172,,미보유,2026-04-20T05:38:04.136Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_172.png,,0,true,sm8b -「울트라샤이니」,S,
1ShzEegvB1sDlsCis7EK,SV5a-075,,보유중,2026-04-20T05:38:14.489Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5A/SV5A_075.png,,0,true,sv5a -「크림슨헤이즈」,AR,
1TVR54nwtbEFh2nzo5cc,SV10-099,,보유중,2026-04-20T05:38:17.895Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png,,0,true,sv10 -「로켓단의 영광」,AR,
1TtIDVVyfLQGHfL0LJel,S12a-238,서포트,보유중,2026-04-20T05:38:07.607Z,https://mtg-kr.com/cardimage/poketcgS12a-238.png,,0,true,s12a -「VSTAR 유니버스」,SAR,아크로마의 실험
1U161hPrbNM4bKQC66y3,SV10-128,,보유중,2026-04-20T05:38:17.896Z,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_128.png,,0,true,sv10 -「로켓단의 영광」,SAR,로켓단의 비주기
