raw_database_id,cardNumber,imageUrl,보유 여부,status,series,isLegacy,type,price,cardName,rarity,pokedexNumber
00XltwKTWZvTfrkbCjaI,S8b-272,https://mtg-kr.com/cardimage/poketcgS8b-272.png,,미보유,s8b -「VMAX 클라이맥스」,true,서포트,0,어니언,SR,
02NrozWTPWkRIlwUYgwy,S6a-085,https://mtg-kr.com/cardimage/poketcgS6a-085.png,,보유중,s6a -「이브이 히어로즈」,true,포켓몬,0,블래키 V,SR,
03caPnflsCGdfeQKqgGZ,M2a-216,https://mtg-kr.com/cardimage/poketcgM2a-216.png,,미보유,m2a -「메가드림」,true,,0,,SR,
0AVGpxn3XwlUFZupODaq,SV11B-093,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_093.png,,보유중,sv11B -「블랙볼트」,true,,0,마라카치,AR,
0BiLlrsQ1DfS6QwAZXEw,SV3a-091,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_091.png,,미보유,sv3a -「레이징서프」,true,,0,,UR,
0G42nPSQa5bmiqTHk7Ue,SV11B-135,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_135.png,,보유중,sv11B -「블랙볼트」,true,,0,돌살이,AR,
0NvdnKyZZVIgr87Ireoy,SV2P-084,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_084.png,,미보유,sv2P -「스노해저드」,true,,0,,SR,
0OsFyQg7dvuoBhudwBgh,SV2P-078,https://mtg-kr.com/cardimage/poketcgSV2P-078.png,,보유중,sv2P -「스노해저드」,true,,0,고디보미,AR,
0VHdCkgyT044wzAnIf8k,S11a-089,https://mtg-kr.com/cardimage/poketcgS11a-089.png,,미보유,s11a -「백열의 아르카나」,true,,0,,HR,
0WlKRALGGym3TO9kwvlD,S10a-097,https://mtg-kr.com/cardimage/poketcgS10a-097.png,,미보유,s10a -「다크판타스마」,true,,0,,,
0XSMisifVTFxVUAet1Sx,SV9-109,https://mtg-kr.com/cardimage/poketcgSV9-109.png,,보유중,sv9 -「배틀파트너즈」,true,,0,,AR,
0aBFZi1LlTKfMUJciBrR,SV4M-094,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_094.png,,미보유,sv4M -「미래의 일섬」,true,,0,,UR,
0aNR9OFXkRmZvOM0XcPW,SV11B-136,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,,보유중,sv11B -「블랙볼트」,true,,0,,AR,
0cAGPdUZRpNiV79fZMu9,SV10-117,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_117.png,,보유중,sv10 -「로켓단의 영광」,true,,0,,SR,
0ce4p1RW8Gxk52BI6ZLi,SV3-130,https://mtg-kr.com/cardimage/poketcgSV3-130.png,,보유중,sv3 - 「흑염의 지배자」,true,,0,뽀삐,SR,
0fqKywUQrHGJwz4tcqYl,SV9-112,https://mtg-kr.com/cardimage/poketcgSV9-112.png,,보유중,sv9 -「배틀파트너즈」,true,,0,호브의 우르,AR,
0g1P3fHTv6zmp97Valgg,SV8a-223,https://mtg-kr.com/cardimage/poketcgSV8a-223.png,,보유중,sv8a -「테라스탈 페스타 ex」,true,,0,이브이 ex,SAR,
0gqlz8FQuMoRB3aHvgyQ,SV2P-099,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_099.png,,미보유,sv2P -「스노해저드」,true,,0,,UR,
0linzz0a5UplY7nhVHwx,SV7a-070,https://mtg-kr.com/cardimage/poketcgSV7a-070.png,,보유중,sv7a -「낙원드래고나」,true,,0,라티오스,AR,
0mCXrSoExr2nEEFbJqvT,S9-109,https://mtg-kr.com/cardimage/poketcgS9-109.png,,보유중,s9 -「스타버스」,true,,0,돈크로우 V,SR,
0memoDT1bPhk6fHEz15V,SV5M-089,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_089.png,,미보유,sv5M -「사이버저지」,true,,0,,SR,
0mr3UoEZjhbOI48q131n,SV10-105,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_105.png,,보유중,sv10 -「로켓단의 영광」,true,,0,,AR,
0nMJyrGZ720L4d0ElcMM,SM6a-056,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6A/SM6A_056.png,,미보유,sm6a -「드래곤스톰」,true,포켓몬,0,,SR,
0r4kjNMYADgqsxqWtRzZ,SV11W-147,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png,,보유중,sv11W -「화이트플레어」,true,,0,기기어르,AR,
0uJHhVSoorOqPyrwHB19,SV11B-106,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_106.png,,보유중,sv11B -「블랙볼트」,true,,0,앗차키,AR,
0ytkNk6p5pYXIx8eMAQV,SV4M-086,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_086.png,,미보유,sv4M -「미래의 일섬」,true,,0,,SR,
18XhCfkOJRiSolGEhEs2,SV9a-080,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_080.png,,보유중,sv9a -「열풍의 아레나」,true,,0,,SR,
1F9UxG24IZFRDkHbOWGj,SV11B-127,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_127.png,,보유중,sv11B -「블랙볼트」,true,,0,,AR,
1Fcr61XhhygFqT0Orrjo,S8b-190,https://mtg-kr.com/cardimage/poketcgS8b-190.png,,보유중,s8b -「VMAX 클라이맥스」,true,,0,,CHR,
